small
medium
large
big
flat
fine
finely
extra
top
round
plus
thick
extract
skim
thinly
table
pkt
tablespoon(s)
teaspoons
teaspoon
tablespoons
tablespoon
cups
cup
cup(s)
pints
pint
quarts
quart
gallons
gallon
pounds
pound
pouch
pouches
can
ounces
ounce
oz.
oz
tbsp.
tsp.
Tbsp.
tsp
tbsp
tbs
tbl
pkg.
lb
lbs
pinch
pinches
inch
inches
pkg
tb
tbspn
part
jar
homemade
cans
serving
crispy
dozen
seven
basic
split
hot
piece
package
fluid
sweet
good
well
pkg
old
medium-size
oz
ml
loosely
package
semisweet
generous
tbs
leftover
diced
premium
packet
can(s)
tbl
ounce(s)
instant
regular
special
baby
coarse
equal
to
taste


leaf
leaves
blossom
blossoms
flakes
threads
paste
piece
pieces
slice
slices
wedge
wedges
halves
parts
casings
pods
crumbles
ground
grated
sprig
sprigs

grilled
roasted
toasted
fried
baked
cooked
melted
brewed
chopped
cut
sliced
shredded
crushed
torn
slivered
minced
peeled
diced
prepared
uncooked
drained
boiled
boiling

frozen
refrigerated
fresh
freshly
organic
natural
wild
aged
young
old
active
boneless
skinless
condensed
concentrate
concentrated
warm
cold
dark
golden
low-fat
free
low
light
less
sodium
sharp
sweetened
candied
softened
unsweetened
whole
dry
dried
firm

then

